,id,is_location_exact,room_type,bed_type,has_availability,binTempo,FAIXA_RATING,accommodates,price_per_accommodates,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,reviews_per_month,availability_30,availability_60,availability_90,availability_365,mean_availability,review_per_year,price
0,241032,1,0,0,1,0,0,4,21.25,200.0,50.0,2,5.0,1,365,207,95.0,4.07,14,41,71,346,118.0,41.4,85.0
1,953595,1,0,0,1,1,0,4,37.5,100.0,40.0,1,0.0,2,90,43,96.0,1.48,13,13,16,291,83.0,21.5,150.0
2,3308979,1,0,0,1,2,0,11,88.64,1.0,300.0,10,25.0,4,30,20,97.0,1.15,1,6,17,220,61.0,20.0,975.0
3,7421966,1,0,0,1,0,0,3,33.33,200.0,50.0,1,0.0,1,1125,0,94.53926206244087,2.078918834221247,0,0,0,143,35.0,22.0,100.0
4,278830,1,0,0,1,1,0,6,75.0,700.0,125.0,6,15.0,1,1125,38,92.0,0.89,30,60,90,365,136.0,12.67,450.0
5,5956968,1,1,0,1,0,0,2,60.0,200.0,40.0,1,30.0,1,6,17,95.0,2.45,0,0,27,302,82.0,22.0,120.0
6,1909058,1,1,0,1,2,0,2,40.0,150.0,50.0,1,10.0,3,14,58,99.0,2.46,20,49,71,346,121.0,58.0,80.0
7,856550,1,1,0,1,1,0,2,30.0,150.0,25.0,1,0.0,2,7,173,97.0,4.73,22,42,42,100,51.0,57.67,60.0
8,4948745,1,1,0,1,0,0,2,45.0,200.0,50.0,1,0.0,3,1125,8,97.0,1.22,6,36,66,341,112.0,22.0,90.0
9,2493658,1,0,0,1,2,0,4,37.5,100.0,40.0,1,0.0,2,365,32,97.0,1.55,6,19,49,324,99.0,32.0,150.0
10,175576,1,0,0,1,0,0,2,47.5,200.0,15.0,2,15.0,3,7,181,97.0,3.33,0,0,0,153,38.0,45.25,95.0
11,4454295,1,0,0,1,0,0,2,49.5,500.0,150.0,1,0.0,3,1125,8,97.0,0.98,21,21,21,229,73.0,22.0,99.0
12,3883392,1,0,0,1,2,0,4,61.25,300.0,95.0,1,0.0,3,14,13,98.0,0.92,30,60,90,362,135.0,13.0,245.0
13,8889257,1,0,0,1,2,0,5,33.0,400.0,85.0,4,20.0,2,1125,3,100.0,3.0,13,40,63,337,113.0,3.0,165.0
14,5680462,1,0,0,1,0,0,16,28.81,1.0,300.0,8,50.0,3,29,18,98.0,2.65,19,40,65,327,112.0,22.0,461.0
15,8988178,0,0,0,1,0,1,5,21.8,200.0,89.0,1,0.0,3,15,1,80.0,0.73,30,60,69,69,57.0,22.0,109.0
16,3245876,1,1,0,1,1,0,2,33.0,100.0,35.0,1,25.0,1,10,84,95.0,4.55,29,59,89,364,135.0,42.0,66.0
17,4933447,1,1,0,1,0,0,2,49.5,100.0,15.0,1,0.0,2,14,45,98.0,4.58,29,52,82,171,83.0,22.0,99.0
18,7735464,1,1,1,1,0,0,2,100.0,200.0,50.0,1,0.0,1,1125,0,94.53926206244087,2.078918834221247,0,0,0,125,31.0,22.0,200.0
19,6291829,1,0,0,1,0,2,10,70.0,500.0,250.0,1,0.0,3,30,5,85.0,0.82,24,54,84,359,130.0,22.0,700.0
20,9218403,0,0,0,1,0,0,1,110.0,200.0,50.0,1,0.0,1,1125,1,100.0,1.0,29,55,85,360,132.0,22.0,110.0
21,4125779,1,1,0,1,2,2,3,33.0,200.0,15.0,1,10.0,1,1125,11,84.0,0.71,30,60,90,365,136.0,11.0,99.0
22,8942678,1,0,0,1,0,0,8,56.25,200.0,50.0,1,0.0,4,1125,1,100.0,0.86,0,0,0,53,13.0,22.0,450.0
23,10106055,1,1,0,1,0,0,2,37.5,200.0,50.0,1,0.0,1,1125,0,94.53926206244087,2.078918834221247,30,60,90,365,136.0,22.0,75.0
24,6362362,1,0,0,1,0,0,5,120.0,500.0,150.0,1,0.0,3,1125,1,100.0,0.18,0,0,0,212,53.0,22.0,600.0
25,3544550,1,0,0,1,0,0,8,56.25,500.0,200.0,6,50.0,4,1125,8,100.0,1.3,0,3,33,293,82.0,22.0,450.0
26,9025039,1,0,0,1,0,0,5,30.0,250.0,35.0,1,0.0,1,1125,0,94.53926206244087,2.078918834221247,0,0,0,49,12.0,22.0,150.0
27,3200646,1,1,0,1,1,0,2,22.5,150.0,25.0,1,0.0,2,7,80,95.0,4.38,22,49,49,107,56.0,40.0,45.0
28,8859380,1,0,0,1,2,0,6,50.0,500.0,125.0,1,0.0,2,1125,6,100.0,2.47,24,54,84,356,129.0,6.0,300.0
29,4520099,1,0,0,1,0,2,3,26.67,200.0,65.0,3,50.0,2,1125,4,85.0,0.33,0,1,30,305,84.0,22.0,80.0
