,index,id,is_location_exact,property_type,room_type,bed_type,has_availability,binTempo,FAIXA_RATING,tempoHost,accommodates,bathrooms,bedrooms,beds,accommodates_per_bedroom,beds_per_bedroom,bathrooms_per_bedroom,accommodates_per_bed,beds_per_accommodate,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,reviews_per_month,availability_30,availability_60,availability_90,availability_365,mean_availability,review_per_year,price_pred
0,0,241032,1,0.0,0,0,1,0,0,5.0,4,1.0,1.0,1.0,4.0,1.0,1.0,4.0,0.25,200.0,50.0,2,5.0,1,365,207,95.0,4.07,14,41,71,346,118.0,41.4,97.34884643554688
1,1,953595,1,0.0,0,0,1,1,0,2.0,4,1.0,1.0,1.0,4.0,1.0,1.0,4.0,0.25,100.0,40.0,1,0.0,2,90,43,96.0,1.48,13,13,16,291,83.0,21.5,136.73831176757812
2,2,3308979,1,1.0,0,0,1,2,0,1.0,11,4.5,5.0,7.0,2.2,1.4,0.9,1.57,0.64,1.0,300.0,10,25.0,4,30,20,97.0,1.15,1,6,17,220,61.0,20.0,519.47900390625
3,3,7421966,1,0.0,0,0,1,0,0,0.0,3,1.0,0.0,2.0,2.0,1.0,1.0,1.5,0.67,200.0,50.0,1,0.0,1,1125,0,94.5392620624409,2.07891883422125,0,0,0,143,35.0,22.0,124.23240661621094
4,4,278830,1,1.0,0,0,1,1,0,3.0,6,2.0,3.0,3.0,2.0,1.0,0.67,2.0,0.5,700.0,125.0,6,15.0,1,1125,38,92.0,0.89,30,60,90,365,136.0,12.67,369.345458984375
5,5,5956968,1,1.0,1,0,1,0,0,0.0,2,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.5,200.0,40.0,1,30.0,1,6,17,95.0,2.45,0,0,27,302,82.0,22.0,85.09331512451172
6,6,1909058,1,1.0,1,0,1,2,0,1.0,2,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.5,150.0,50.0,1,10.0,3,14,58,99.0,2.46,20,49,71,346,121.0,58.0,66.25383758544922
7,7,856550,1,3.0,1,0,1,1,0,3.0,2,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.5,150.0,25.0,1,0.0,2,7,173,97.0,4.73,22,42,42,100,51.0,57.67,65.53897857666016
8,8,4948745,1,0.0,1,0,1,0,0,0.0,2,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.5,200.0,50.0,1,0.0,3,1125,8,97.0,1.22,6,36,66,341,112.0,22.0,76.26666259765625
9,9,2493658,1,0.0,0,0,1,2,0,1.0,4,1.0,1.0,1.0,4.0,1.0,1.0,4.0,0.25,100.0,40.0,1,0.0,2,365,32,97.0,1.55,6,19,49,324,99.0,32.0,142.21865844726562
