room_type,beds,bed_type,bathrooms,bedrooms,accommodates,review_scores_rating,taxa_de_limpeza,host_is_superhost
Entire home/apt,1.0,Real Bed,1.0,1.0,4,95.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,1.0,4,96.0,40.0,t
Entire home/apt,7.0,Real Bed,4.5,5.0,11,97.0,300.0,f
Entire home/apt,2.0,Real Bed,1.0,0.0,3,NULL,NULL,f
Entire home/apt,3.0,Real Bed,2.0,3.0,6,92.0,125.0,f
Private room,1.0,Real Bed,1.0,1.0,2,95.0,40.0,f
Private room,1.0,Real Bed,1.0,1.0,2,99.0,NULL,t
Private room,1.0,Real Bed,1.0,1.0,2,97.0,25.0,t
Private room,1.0,Real Bed,1.0,1.0,2,97.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,1.0,4,97.0,40.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,2,97.0,15.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,2,97.0,150.0,f
Entire home/apt,3.0,Real Bed,1.0,2.0,4,98.0,95.0,t
Entire home/apt,3.0,Real Bed,1.0,2.0,5,100.0,85.0,f
Entire home/apt,15.0,Real Bed,3.5,6.0,16,98.0,300.0,f
Entire home/apt,2.0,Real Bed,1.0,2.0,5,80.0,89.0,f
Private room,1.0,Real Bed,1.0,1.0,2,95.0,35.0,f
Private room,1.0,Real Bed,1.0,1.0,2,98.0,15.0,t
Private room,1.0,Futon,2.0,1.0,2,NULL,NULL,f
Entire home/apt,5.0,Real Bed,3.5,5.0,10,85.0,250.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,1,100.0,NULL,f
Private room,2.0,Real Bed,1.5,1.0,3,84.0,15.0,f
Entire home/apt,4.0,Real Bed,2.0,4.0,8,100.0,NULL,f
Private room,1.0,Real Bed,1.0,1.0,2,NULL,NULL,f
Entire home/apt,3.0,Real Bed,2.5,3.0,5,100.0,150.0,f
Entire home/apt,5.0,Real Bed,2.5,3.0,8,100.0,200.0,f
Entire home/apt,3.0,Real Bed,1.0,2.0,5,NULL,35.0,f
Private room,1.0,Real Bed,1.0,1.0,2,95.0,25.0,t
Entire home/apt,3.0,Real Bed,2.0,3.0,6,100.0,125.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,3,85.0,65.0,f
