date,frequencia,price
2016-01-04,1735,122.085878962536
2016-01-05,1867,120.68130690948
2016-01-06,1826,120.928258488499
2016-01-07,1776,120.958896396396
2016-01-08,1782,127.640852974186
2016-01-09,1856,127.330818965517
2016-01-10,2009,120.001991040319
2016-01-11,2080,118.988942307692
2016-01-12,2114,118.720908230842
2016-01-13,2097,118.680019074869
2016-01-14,2060,118.930582524272
2016-01-15,1988,127.609154929577
2016-01-16,1961,128.339112697603
2016-01-17,2072,122.727316602317
2016-01-18,2231,121.740475123263
2016-01-19,2274,119.301671064204
2016-01-20,2289,118.68370467453
2016-01-21,2255,119.488691796009
2016-01-22,2232,126.760752688172
2016-01-23,2236,127.000894454383
2016-01-24,2296,120.288763066202
2016-01-25,2350,118.232765957447
2016-01-26,2356,117.737691001698
2016-01-27,2331,118.148863148863
2016-01-28,2276,117.685413005272
2016-01-29,2260,124.6
2016-01-30,2262,124.936781609195
2016-01-31,2368,119.159628378378
2016-02-01,2413,119.973476999586
2016-02-02,2438,119.476210008203
2016-02-03,2439,120.259532595326
2016-02-04,2390,121.506694560669
2016-02-05,2385,127.844444444444
2016-02-06,2380,128.52731092437
2016-02-07,2482,123.492344883159
2016-02-08,2513,121.609231993633
2016-02-09,2529,121.348754448399
2016-02-10,2531,121.560647965231
2016-02-11,2485,123.087726358149
2016-02-12,2465,132.958620689655
2016-02-13,2435,133.779055441478
2016-02-14,2456,127.464983713355
2016-02-15,2529,125.353894820087
2016-02-16,2559,123.292692457991
2016-02-17,2565,122.572319688109
2016-02-18,2561,122.560718469348
2016-02-19,2575,128.98640776699
2016-02-20,2586,129.112142304718
2016-02-21,2625,122.646095238095
2016-02-22,2626,121.809977151561
2016-02-23,2629,121.616203879802
2016-02-24,2619,121.234440626193
2016-02-25,2599,121.32127741439
2016-02-26,2612,128.278330781011
2016-02-27,2608,128.751150306748
2016-02-28,2627,123.054434716407
2016-02-29,2660,121.673684210526
2016-03-01,2668,123.486131934033
2016-03-02,2668,123.256371814093
2016-03-03,2663,124.66391288021
2016-03-04,2681,133.030212607236
2016-03-05,2682,133.301267710664
2016-03-06,2713,126.261702911906
2016-03-07,2695,125.708719851577
2016-03-08,2691,125.947231512449
2016-03-09,2689,126.152844923763
2016-03-10,2687,126.781912914031
2016-03-11,2689,133.896243956861
2016-03-12,2673,134.28507295174
2016-03-13,2700,127.771481481481
2016-03-14,2702,126.774241302739
2016-03-15,2706,126.319290465632
2016-03-16,2721,126.597941933113
2016-03-17,2725,128.923669724771
2016-03-18,2738,135.324324324324
2016-03-19,2723,134.839882482556
2016-03-20,2722,127.353783982366
2016-03-21,2708,126.540620384047
2016-03-22,2702,126.562176165803
2016-03-23,2706,126.665188470067
2016-03-24,2691,128.383872166481
2016-03-25,2700,136.217407407407
2016-03-26,2727,136.43637697103
2016-03-27,2760,128.536594202899
2016-03-28,2754,126.779593318809
2016-03-29,2751,126.738276990185
2016-03-30,2748,126.513100436681
2016-03-31,2755,127.815245009074
2016-04-01,2790,135.682795698925
2016-04-02,2471,140.131121003642
2016-04-03,2497,132.859831798158
2016-04-04,2505,132.336526946108
2016-04-05,2511,132.067702110713
2016-04-06,2491,132.390606182256
2016-04-07,2456,135.567996742671
2016-04-08,2460,142.65162601626
2016-04-09,2461,143.22551808208
2016-04-10,2503,135.840591290451
2016-04-11,2531,132.660608455156
2016-04-12,2536,132.172712933754
2016-04-13,2539,132.223316266247
2016-04-14,2535,133.788560157791
2016-04-15,2547,140.523360816647
2016-04-16,2548,140.601648351648
2016-04-17,2549,132.889760690467
2016-04-18,2548,132.326138147567
2016-04-19,2546,132.126865671642
2016-04-20,2536,132.080835962145
2016-04-21,2534,131.501183898974
2016-04-22,2537,138.679542767048
2016-04-23,2534,139.262430939227
