id,host_since,tempoHost,review_scores_rating,price$,diferencaUltimoReview,binTempo
241032,2011-08-11,5,95.0,85.0,5,host_antigo
953595,2013-02-21,3,96.0,150.0,2,host_medio
3308979,2014-06-12,2,97.0,975.0,1,host_medio
7421966,2013-11-06,3,NULL,100.0,NULL,host_medio
278830,2011-11-29,5,92.0,450.0,3,host_antigo
5956968,2010-12-25,6,95.0,120.0,0,host_antigo
1909058,2012-05-30,4,99.0,80.0,1,host_antigo
856550,2012-10-30,4,97.0,60.0,3,host_antigo
4948745,2012-04-18,4,97.0,90.0,0,host_antigo
2493658,2013-02-21,3,97.0,150.0,1,host_medio
175576,2010-09-19,6,97.0,95.0,4,host_antigo
4454295,2013-01-06,3,97.0,99.0,0,host_medio
3883392,2014-08-13,2,98.0,245.0,1,host_medio
8889257,2015-01-10,1,100.0,165.0,1,host_novo
5680462,2014-10-10,2,98.0,461.0,0,host_medio
8988178,2012-07-18,4,80.0,109.0,0,host_antigo
3245876,2013-10-16,3,95.0,66.0,2,host_medio
4933447,2014-12-31,2,98.0,99.0,0,host_medio
7735464,2013-04-30,3,NULL,200.0,NULL,host_medio
6291829,2015-05-05,1,85.0,700.0,0,host_novo
9218403,2014-04-09,2,100.0,110.0,0,host_medio
4125779,2014-09-16,2,84.0,99.0,1,host_medio
8942678,2015-10-16,1,100.0,450.0,0,host_novo
10106055,2015-12-20,1,NULL,75.0,NULL,host_novo
6362362,2015-05-11,1,100.0,600.0,0,host_novo
3544550,2014-06-12,2,100.0,450.0,0,host_medio
9025039,2010-01-06,6,NULL,150.0,NULL,host_antigo
3200646,2012-10-30,4,95.0,45.0,2,host_antigo
8859380,2012-10-07,4,100.0,300.0,1,host_antigo
4520099,2013-05-01,3,85.0,80.0,0,host_medio
2481869,2013-02-21,3,96.0,175.0,1,host_medio
1110749,2013-03-04,3,92.0,325.0,2,host_medio
5978498,2015-04-11,1,88.0,175.0,0,host_novo
5021081,2015-01-10,1,75.0,222.0,0,host_novo
1686930,2013-09-18,3,97.0,159.0,2,host_medio
7680289,2015-08-02,1,95.0,125.0,0,host_novo
7207641,2013-05-23,3,96.0,348.0,0,host_medio
5062445,2014-09-08,2,97.0,45.0,0,host_medio
8925878,2015-08-02,1,100.0,150.0,0,host_novo
6389657,2012-04-02,4,98.0,80.0,0,host_antigo
4218733,2014-09-28,2,90.0,110.0,2,host_medio
2715623,2013-08-18,3,91.0,148.0,1,host_medio
1392332,2012-05-07,4,98.0,350.0,2,host_antigo
7308567,2014-07-03,2,98.0,150.0,0,host_medio
6575380,2015-05-27,1,100.0,150.0,0,host_novo
6004058,2013-09-24,3,92.0,100.0,1,host_medio
9550869,2014-03-06,2,NULL,349.0,NULL,host_medio
8515408,2012-09-07,4,100.0,110.0,0,host_antigo
5383192,2015-02-11,1,100.0,160.0,0,host_novo
1112092,2013-04-10,3,95.0,130.0,2,host_medio
7772661,2015-08-08,1,100.0,99.0,0,host_novo
9254900,2015-02-02,1,NULL,100.0,NULL,host_novo
7714294,2012-09-10,4,100.0,137.0,0,host_antigo
10310373,2016-01-02,0,NULL,20.0,NULL,host_antigo
9368342,2011-08-30,5,NULL,150.0,NULL,host_antigo
6361863,2014-12-24,2,94.0,145.0,1,host_medio
8105221,2014-05-06,2,100.0,80.0,0,host_medio
3269390,2014-02-12,2,98.0,95.0,1,host_medio
4566393,2014-11-12,2,NULL,400.0,NULL,host_medio
9282409,2011-05-05,5,100.0,85.0,0,host_antigo
8095168,2012-09-10,4,100.0,70.0,0,host_antigo
2746782,2012-10-30,4,97.0,90.0,1,host_antigo
6424982,2015-05-16,1,92.0,80.0,1,host_novo
762029,2012-10-30,4,97.0,60.0,4,host_antigo
8988281,2015-10-19,1,NULL,175.0,NULL,host_novo
7077910,2012-07-05,4,91.0,170.0,0,host_antigo
3772674,2014-07-17,2,98.0,85.0,1,host_medio
